---
source: R[v4.4.3]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-04-04 18:13:20
schema:
  fields:
  - name: species
    type: character
  - name: posID
    type: numeric
  - name: tag
    type: character
  - name: time
    type: numeric
  - name: datetime
    type: POSIXct
  - name: x
    type: numeric
  - name: 'y'
    type: numeric
  - name: nbs
    type: numeric
  - name: varx
    type: numeric
  - name: vary
    type: numeric
  - name: speed_in
    type: numeric
  - name: speed_out
    type: numeric
  - name: x_raw
    type: numeric
  - name: y_raw
    type: numeric
  - name: n_aggregated
    type: integer
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,posID,tag,time,datetime,x,y,nbs,varx,vary,speed_in,speed_out,x_raw,y_raw,n_aggregated
redshank,904,3027,1695445740,2023-09-23T05:09:00Z,650780.540501823,5901794.56729426,3,0.807614856112787,1.76737985643961,0.318376952473467,0.293859183491918,650780.718466297,5901794.99099502,17
redshank,918,3027,1695445800,2023-09-23T05:10:00Z,650776.024155066,5901793.6650115,3,2.49374181377001,3.29502061181817,0.357244724122159,0.355267568064656,650774.934589881,5901794.20485722,11
redshank,927.5,3027,1695445860,2023-09-23T05:11:00Z,650765.403450223,5901792.81745105,3,5.81216422840953,8.38152854144574,0.238072124345262,0.238072124345262,650764.106559543,5901795.23042112,8
redshank,940,3027,1695445920,2023-09-23T05:12:00Z,650758.004069982,5901791.62849947,3,0.757539006665504,1.67082360046545,0.399537622611489,0.399537622611489,650757.334217841,5901790.86070371,17
redshank,957.5,3027,1695445980,2023-09-23T05:13:00Z,650749.550437907,5901787.99640982,3,1.20256376045722,2.15569252805945,0.312491383801141,0.344108535154545,650749.60745033,5901789.80238471,18
redshank,976.5,3027,1695446040,2023-09-23T05:14:00Z,650744.021925421,5901785.28826701,3,0.62198417365551,0.934678584933281,0.415632701824071,0.399428722432932,650743.552244335,5901784.30139348,20
redshank,994.5,3027,1695446100,2023-09-23T05:15:00Z,650737.999011126,5901784.18656549,3,2.13702631136403,4.5120467254892,0.26412020786027,0.26504612049656,650737.281172115,5901783.69316914,16
redshank,1010,3027,1695446160,2023-09-23T05:16:00Z,650732.530384238,5901783.97626115,3.06666666666667,0.469254843393962,0.676909998787774,0.195659317674581,0.190123742278417,650732.84609617,5901784.61764184,15
redshank,1027.5,3027,1695446220,2023-09-23T05:17:00Z,650727.013114615,5901782.92686198,3.1,0.35346810400486,0.707166621088982,0.193090191273555,0.188638602470315,650726.949866213,5901783.24537648,20
redshank,1046,3027,1695446280,2023-09-23T05:18:00Z,650723.369975369,5901784.77317938,3,0.349201444936046,0.594926853905912,0.163099168125567,0.171846108454911,650722.859247164,5901784.82318181,17
redshank,1062,3027,1695446340,2023-09-23T05:19:00Z,650724.543967942,5901776.47918455,3,0.401487583054437,0.634903352525499,0.338357103675831,0.34088493447792,650724.41503115,5901776.7408638,15
redshank,1078.5,3027,1695446400,2023-09-23T05:20:00Z,650736.126813259,5901769.80308456,3,0.548095536820683,0.960474310833732,0.315685226920411,0.300441128068074,650736.025494447,5901769.089453,18
redshank,1097.5,3027,1695446460,2023-09-23T05:21:00Z,650750.605008812,5901765.8871335,3.2,0.413585171103478,0.521298589706421,0.340070805343653,0.34202640430894,650750.482573866,5901766.58639861,20
redshank,1117.5,3027,1695446520,2023-09-23T05:22:00Z,650765.993178851,5901771.09075526,3.25,0.29971759557724,0.524694191813469,0.342774164151871,0.360620967113098,650765.889851289,5901770.73991301,20
redshank,1136.5,3027,1695446580,2023-09-23T05:23:00Z,650774.922297437,5901782.01536843,3.11111111111111,0.477190099748564,0.673492856967597,0.225245158172913,0.203242489365675,650775.075487458,5901781.99982716,18
redshank,1154.5,3027,1695446640,2023-09-23T05:24:00Z,650767.497371055,5901787.96198626,3,0.565056799002636,1.24541497156944,0.284555801972076,0.290370524142811,650767.34401006,5901788.27624338,18
redshank,1173,3027,1695446700,2023-09-23T05:25:00Z,650769.212417576,5901794.51883243,3,0.235496091050124,0.285943537867961,0.274430608781304,0.290468299478941,650769.408199985,5901794.20526612,19
redshank,1192.5,3027,1695446760,2023-09-23T05:26:00Z,650771.764130232,5901800.88066586,3.05,0.177378814816475,0.275435588359833,0.203660579886002,0.189305999089988,650771.939957379,5901801.16286595,20
redshank,1211,3027,1695446820,2023-09-23T05:27:00Z,650775.765571589,5901803.7775176,3,0.61975984507366,1.00229790961454,0.193824850282621,0.198659272140623,650774.369813191,5901804.48811152,17
